Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCA_008782695.1	UCB_Mmun_1.0	Muntiacus muntjak					UTSW_UCB_Mm	female	"Annotation submitted by University of California, Berkeley"	2573529099	Chromosome	10/7/19	VCEA01	25651		
GCF_943735745.2	idAnoBellAS_SP24_06.2	Anopheles bellator							GCF_943735745.2-RS_2023_07	169575294	Chromosome	4/8/23	CALSEL02	2985		
GCF_000280035.1	ASM28003v2	Encephalitozoon romaleae SJ-2008		SJ-2008					Annotation submitted by University of Ottawa	2187595	Chromosome	7/19/12		13		
GCA_014858505.1	Ccitriodora_v2_1	Corymbia citriodora subsp. variegata					CV2-018		Annotation submitted by DOE Joint Genome Institute	544191601	Chromosome	10/21/20	JABURB01	15033		
GCF_002201575.2	ASM220157v2	Neomonachus schauinslandi						male	NCBI Neomonachus schauinslandi Annotation Release 101	2419443398	Chromosome	10/20/21	NINY02	8094		
GCF_023721935.1	Puncia_PCG_1.0	Panthera uncia					11264	female	GCF_023721935.1-RS_2023_02	2433972596	Chromosome	6/16/22	JAJAOB01	2635		
GCA_029228515.1	Populus_alba_x_berolinensis.Group_A.v1.2	Populus alba x Populus x berolinensis					SC-2020		Annotation submitted by Northeast Forestry University	532369601	Chromosome	3/20/23	JAQIZT01	1960		
GCA_933207985.1	aPelCul1.1_chrom	Pelobates cultripes							Annotation submitted by The Spanish National Research Council (CSIC)	3094940563	Chromosome	6/9/23	CAKOES02	3574		
GCF_011077185.1	BPBGC_Ojam_1.0	Oxyura jamaicensis	ruddy duck				SHBP4307	female	NCBI Oxyura jamaicensis Annotation Release 100	1147585764	Chromosome	3/10/20	JAACYN01	9642		
GCA_006937295.1	ASM693729v1	Carpinus fangiana					Cfa_2016G		Annotation submitted by Lanzhou University	381948906	Chromosome	7/29/19	VIBQ01	4602		
GCF_026283585.1	UHH_iyHylVolc1.0_haploid	Hylaeus volcanicus					JK05	male	GCF_026283585.1-RS_2023_03	252651163	Chromosome	11/22/22	JANILQ01	1869		
GCA_025370935.1	NRCan_CFum_1	Choristoneura fumiferana					Glfc:IPQL:Cfum	male	Annotation submitted by Laurentian Forestry Centre	575343295	Chromosome	9/23/22	JALGPW01	334		
GCF_002776525.5	ASM277652v5	Piliocolobus tephrosceles					RC106	male	NCBI Piliocolobus tephrosceles Annotation Release 102	2993041957	Chromosome	12/12/19	PDMG03	32287		
GCF_019175285.1	SceUnd_v1.1	Sceloporus undulatus				Alabama	JIND9_A2432	male	NCBI Sceloporus undulatus Annotation Release 100	1905484175	Chromosome	7/8/21	JAGXEY01	45012		
GCF_029784015.1	AGI_CSIRO_Lferr_CH_V1	Lycium ferocissimum					CSIRO_LF1		GCF_029784015.1-RS_2023_09	1219357132	Chromosome	4/18/23	JARBDQ01	14905		
GCF_013103735.1	CSU_Ecrag_1.0	Etheostoma cragini					CJK2018		NCBI Etheostoma cragini Annotation Release 100	643078674	Chromosome	5/15/20	JAAVJE01	4664		
GCF_012273895.1	Zerene_cesonia_1.1	Zerene cesonia				Mississippi		female	NCBI Zerene cesonia Annotation Release 100	266405969	Chromosome	10/2/20	JAAMXH01	275		
GCA_026184515.1	PsorP6_UCD_v1	Peronosclerospora sorghi					P6		Annotation submitted by UC Davis Genome Center	325250994	Chromosome	11/15/22	JAPDHQ01	6744		
GCA_022758105.1	PGIGA_1.1	Pangasianodon gigas					YG-Dec2019	male	Annotation submitted by GenoFish	827231152	Chromosome	3/30/22	JAKMWG01	239242		
GCF_900094665.2	CAROLI_EIJ_v1.1	Mus caroli						female	NCBI Mus caroli Annotation Release 101	2552816249	Chromosome	4/28/17	FMAL02	3077		
GCF_008632895.1	UCSF_Mcou_1	Mastomys coucha					ucsf_1	male	NCBI Mastomys coucha Annotation Release 100	2507168619	Chromosome	9/24/19	VSBT01	27		
GCF_900095145.1	PAHARI_EIJ_v1.1	Mus pahari						female	NCBI Mus pahari Annotation Release 101	2475012951	Chromosome	4/28/17	FMBV02	2581		
GCF_008692095.1	UIUC_Espe_1.0	Etheostoma spectabile					EspeVRDwgs_2016	male	NCBI Etheostoma spectabile Annotation Release 100	854790067	Chromosome	10/7/19	VOFY01	3118		
GCF_010883055.1	B_treatae_v1	Belonocnema kinseyi					2016_QV_RU_SX_M_011	male	NCBI Belonocnema kinseyi Updated Annotation Release 100.20220217	1538686255	Chromosome	2/21/20	JAAEHM01	5520		
GCF_001602025.1	ASM160202v1	Plasmodium gaboni		SY75					Annotation submitted by NCBI RefSeq	20356150	Chromosome	4/8/16	LVLB01	832		
GCA_009746105.1	ASM974610v1	Rhododendron williamsianum					RSF 1966-606		Annotation submitted by University of Washington	532293122	Chromosome	12/13/19	QEFC01	11985		
GCA_013677245.1	ASM1367724v1	Gossypium davidsonii					27		Annotation submitted by Mississippi State University	704223819	Chromosome	9/3/20	JABFAC01	314795		
GCA_013677255.1	ASM1367725v1	Gossypium harknessii					0		Annotation submitted by Mississippi State University	732154658	Chromosome	9/3/20	JABFAD01	373839		
GCA_040182985.1	ASM4018298v1	Lithocarpus litseifolius					Zhou-2022a		"Annotation submitted by Institute of Chinese Materia Medica, China Academy of Chinese Medicine Sciences"	963782541	Chromosome	6/14/24	JAZDWU01	322		
GCF_023898315.1	iqSchNite1.1	Schistocerca nitens					TAMUIC-IGC-003100	female	NCBI Schistocerca nitens Annotation Release 100	8822555691	Chromosome	6/28/22	JAMRYH01	511		
GCF_023864275.1	iqSchCanc2.1	Schistocerca cancellata					TAMUIC-IGC-003103	female	NCBI Schistocerca cancellata Annotation Release 100	8536877781	Chromosome	6/28/22	JAMRYG01	1107		
GCF_030265065.1	ASM3026506v1	Corythoichthys intestinalis					RoL2023-P3	male	GCF_030265065.1-RS_2024_05	1326793283	Chromosome	6/20/23	JAQPVN01	109		
GCF_023864345.2	iqSchSeri2.2	Schistocerca serialis cubense					TAMUIC-IGC-003099	female	NCBI Schistocerca serialis cubense Annotation Release 100	9082806520	Chromosome	6/28/22	JAMRYF01	1454		
GCA_039657365.1	ASM3965736v1	Stephania yunnanensis					YNDBR		Annotation submitted by Chengdu University of Traditional Chinese Medicine	812197772	Chromosome	5/17/24	JBBNAF01	61		
GCF_036321145.2	Pm_UMD_F_2	Pelmatolapia mariae					MD_Pm_ZW	female	GCF_036321145.2-RS_2024_05	972201687	Chromosome	4/17/24	JAWPEK02	791		
GCA_949775105.1	Ocorymbosa-M15.v1	Oldenlandia corymbosa var. corymbosa							Annotation submitted by nanyang technological university	273711991	Chromosome	4/7/23	CATKSE01	10		
GCA_037954105.1	Cgla_1	Canavalia gladiata					LVBAO_FW01		Annotation submitted by Agricultural Genomics Institute at Shenzhen	614525652	Chromosome	4/4/24	JAYMYQ01	102		
GCF_021461385.2	iqSchPice1.1	Schistocerca piceifrons					TAMUIC-IGC-003096	female	NCBI Schistocerca piceifrons Annotation Release 100	8742443784	Chromosome	2/14/22	JAJNAD01	2492		
GCA_029692085.1	GJAV_1.0	Gymnothorax javanicus					Gymjav_1		Annotation submitted by GenoFish	2124863002	Chromosome	4/12/23	JAFJMP01	469		
GCA_027725995.1	MPIPZ_rhyTen1m_1	Rhynchospora tenuis					rhyTen1mFocal		Annotation submitted by Max-Planck institute for plant breeding research	397748660	Chromosome	1/12/23	JAMRDG01	1635		
GCA_030848705.1	IITP_Hsosn_ver7	Heracleum sosnowskyi					Hsosn_3		Annotation submitted by Institute for Information Transmission Problems	1629177483	Chromosome	8/22/23	JAUIZM01	383		
GCF_025434085.1	ASM2543408v3	Hippocampus zosterae		Florida				male	GCF_025434085.1-RS_2023_02	544504747	Chromosome	9/29/22	JANTIC01	212		
GCA_039657345.1	ASM3965734v1	Stephania japonica					QJT		Annotation submitted by Chengdu University of Traditional Chinese Medicine	643419807	Chromosome	5/17/24	JBBNAE01	50		
GCA_962446985.1	fXyrNov1.1	Xyrichtys novacula							Annotation submitted by IMEDEA	775535542	Chromosome	8/19/23	CAUIWU01	31		
GCA_029852875.1	ASM2985287v1	Mythimna loreyi					BeijingLab		Annotation submitted by Chinese Academy of Agricultural Sciences	678263292	Chromosome	4/21/23	JARGEH01	146		
GCF_019802595.1	ASM1980259v1	Syngnathoides biaculeatus					LvHL_M	male	GCF_019802595.1-RS_2023_12	636519225	Chromosome	9/9/21	JADLZI01	142		
GCA_963693515.1	mPipNat.pri	Pipistrellus nathusii							Annotation submitted by Leibniz Institute for Zoo and Wildlife Research	1804478338	Chromosome	2/7/24	CAVNZX01	153		
GCA_022829145.1	AGOR_1.0	Albula goreensis				Florida			Annotation submitted by GenoFish	933663665	Chromosome	4/8/22	JAERUA01	471		
GCF_021155765.1	iyDipSimi1.1	Diprion similis					iyDipSimi1	male	NCBI Diprion similis Annotation Release 100	270225736	Chromosome	12/10/21	JAJNQI01	81		
GCA_039657385.1	ASM3965738v1	Citrus x changshan-huyou					14-Jan		Annotation submitted by Zhejiang University	323511213	Chromosome	5/17/24	JBCGBO01	26		
GCF_021155785.1	iyNeoFabr1.1	Neodiprion fabricii					iyNeoFabr1	male	NCBI Neodiprion fabricii Annotation Release 100	260422217	Chromosome	12/10/21	JAJNQJ01	72		
GCA_028095005.1	MPIPZ_rhyPub2m_2.0	Rhynchospora pubera					rhyPub2mFocal		Annotation submitted by Max-Planck institute for plant breeding research	1694853883	Chromosome	1/31/23	JAMFTS01	8494		
GCA_964030455.1	Ltrigynum_genome	Linum trigynum							Annotation submitted by Stockholm University	498043431	Chromosome	5/4/24	CAXIPQ01	15		
GCA_944470415.2	tdSchRodh1.2	Schistosoma rodhaini							Annotation submitted by WELLCOME SANGER INSTITUTE	388462722	Chromosome	9/20/22	CALYCS02	90		
GCF_021901495.1	iyNeoVirg1.1	Neodiprion virginianus					iyNeoVirg1	male	GCF_021901495.1-RS_2023_11	262970509	Chromosome	2/3/22	JAJNQL01	47		
GCA_921882275.1	SP_BI_364.v2_0	Brenthis ino							Annotation submitted by UNIVERSITY OF EDINBURGH	411873249	Chromosome	12/19/21	CAKLHF01	36		
GCF_021028975.2	MPM_Stown_v2.3	Sphaerodactylus townsendi					TG3544	male	NCBI Sphaerodactylus townsendi Annotation Release 100	1810846735	Chromosome	4/8/22	JAHVXK02	1742		
GCF_030247185.1	Malgen_1.1	Malaya genurostris		Urasoe2022				male	GCF_030247185.1-RS_2023_07	831262279	Chromosome	7/10/23	JASDBK02	151		
GCA_029851415.1	Ehay_zju_1.0	Eretmocerus hayati					ZJU_SS_LIU_2023	male	Annotation submitted by Zhejiang University	692130109	Chromosome	4/21/23	JARUXH01	17		
GCA_944470205.2	tdSchMarg1.2	Schistosoma margrebowiei							Annotation submitted by WELLCOME SANGER INSTITUTE	394892635	Chromosome	9/20/22	CALYCG02	35		
GCA_902729315.2	Spirodela_intermedia_8410_2	Spirodela intermedia							Annotation submitted by Leibniz Institute of Plant Genetics and Crop Plant Research	136679681	Chromosome	11/2/20	CACVBZ02	70		
GCF_954871325.1	tfGorSpeb1-WG-v2	Gordionus sp. m RMFG-2023							GCF_954871325.1-RS_2024_05	287640266	Chromosome	3/10/24	CATOZP02	395		
GCA_030435675.1	Sherm_1.0	Steinernema hermaphroditum		PS9179				hermaphrodite	Annotation submitted by Cornell University	90773528	Chromosome	7/13/23	JAUCMV01	89		
GCA_033220425.1	Lene_EWU_01	Lepraria neglecta					Allen 5258		Annotation submitted by Eastern Washington University	42023604	Chromosome	11/3/23	JASNWA01	11		
GCA_933534255.1	IP_504.v2_0	Iphiclides podalirius							Annotation submitted by UNIVERSITY OF EDINBURGH	430729501	Chromosome	5/3/22	CAKOGK01	260		
GCA_944470555.2	tdHetHame2.2	Heterobilharzia americana							Annotation submitted by WELLCOME SANGER INSTITUTE	665588900	Chromosome	9/20/22	CALYCZ02	393		
GCF_033978795.1	RoL_Noph_v1.0	Nerophis ophidion					RoL-2023_Sa	male	GCF_033978795.1-RS_2023_12	1845757181	Chromosome	12/1/23	JAWNBE01	473		
GCF_035222485.1	CBS124.78p_1.0	Podospora pseudoanserina		CBS 124.78					Annotation submitted by Uppsala University	34828952	Chromosome	1/12/24	JAFFHC01	9		
GCF_029220125.1	NWPU_hadal_v1	Pseudoliparis swirei				Mariana Trench	HS2019		GCF_029220125.1-RS_2023_05	626438928	Chromosome	3/16/23	JANBZZ01	199		
GCF_025433545.1	ASM2543354v1	Fusarium keratoplasticum					Fu6.1		Annotation submitted by Academia Sinica	49462855	Chromosome	10/3/22	JANGXZ01	25		
GCA_022379115.2	ASM2237911v2	Bauhinia variegata					BV-YZ2020		Annotation submitted by Sun Yat-sen University	326365182	Chromosome	6/6/22	JAKRYI02	410		
GCF_035222375.1	CBS415.72m_1.0	Podospora pseudocomata		CBS 415.72m					Annotation submitted by Uppsala University	34981282	Chromosome	1/12/24	JAFFHA01	9		
GCA_944470375.2	tdSchGuin1.2	Schistosoma guineensis							Annotation submitted by WELLCOME SANGER INSTITUTE	379320925	Chromosome	9/15/22	CALYCN02	74		
GCA_946903255.1	tdSchSpin1.1b	Schistosoma spindale							Annotation submitted by WELLCOME SANGER INSTITUTE	390075707	Chromosome	9/22/22	CAMPQF01	112		
GCA_025433615.1	ASM2543361v1	Fusarium sp. LHS14.1					LHS14.1		Annotation submitted by Academia Sinica	56318919	Chromosome	10/3/22	JANGYB01	35		
GCF_029784135.1	ASM2978413v1	Toxorhynchites rutilus septentrionalis		SRP				male	GCF_029784135.1-RS_2023_04	903034419	Chromosome	4/19/23	JARQTM01	519		
GCA_008638375.1	ASM863837v1	Nyssa sinensis					J267		Annotation submitted by Nyssa sinensis	1001447681	Chromosome	9/24/19	VIRR01	654		
GCA_917834065.1	PGI_CEUTPL_v4	Ceutorhynchus assimilis							Annotation submitted by ROTHAMSTED RESEARCH	674950870	Chromosome	7/12/22	CAKJTU04	44		
GCA_025433565.1	ASM2543356v1	Fusarium sp. Ph1					Ph1		Annotation submitted by Academia Sinica	51460811	Chromosome	10/3/22	JANGYC01	24		
GCA_007844105.2	ASM784410v2	Rhamnella rubrinervis				Xishuangbanna	BYM		Annotation submitted by Lanzhou University	245347936	Chromosome	3/20/20	VOIH02	104		
GCF_004354385.1	UK_Dinn_1.0	Drosophila innubila					TH190305	female	NCBI Drosophila innubila Annotation Release 100	167978031	Chromosome	3/19/19	SKCT01	363		
GCA_944470365.2	tdSchInte1.2	Schistosoma intercalatum							Annotation submitted by WELLCOME SANGER INSTITUTE	386052197	Chromosome	9/20/22	CALYCO02	298		
GCF_030247195.1	ASM3024719v1	Topomyia yanbarensis		Yona2022				male	GCF_030247195.1-RS_2023_08	1168159140	Chromosome	6/12/23	JASDBJ01	1046		
GCA_020887355.1	COCOBI_1.0	Coccomyxa sp. Obi							"Annotation submitted by Research and Development Initiative, Chuo University"	50164111	Chromosome	10/5/21		19		
GCA_944474815.3	tdSchCurr1.1a	Schistosoma curassoni							Annotation submitted by WELLCOME SANGER INSTITUTE	396921197	Chromosome	9/16/22	CALYDH03	369		
GCA_036324585.1	JC_Ceso_ftc_fv8	Champsocephalus esox				secondarily temperate	JC2023a	male	Annotation submitted by University of Illinois at Urbana-Champaign	987103429	Chromosome	2/1/24	JAULUE01	2069		
GCA_006247105.1	UU_GM_1.1	Giardia muris		Roberts-Thomson					Annotation submitted by Uppsala University	9777924	Chromosome	7/3/19	VDLU01	59		
GCF_900090045.1	PmUG01	Plasmodium malariae							Annotation submitted by WTSI	33577742	Chromosome	12/13/16	FLRL01	61		
GCA_944470405.2	tdSchMatt1.2	Schistosoma mattheei							Annotation submitted by WELLCOME SANGER INSTITUTE	389320734	Chromosome	9/20/22	CALYCQ02	97		
GCA_918026855.4	PGI_PHAECO_v4	Phaedon cochleariae							Annotation submitted by ROTHAMSTED RESEARCH	869734947	Chromosome	10/18/22	CAKJVG04	19		
GCA_026225825.1	Pint_V1	Pistacia integerrima					c1T6	male	Annotation submitted by UC Davis Genome Center	474763776	Chromosome	11/18/22	JAPDOA01	33		
GCA_004337975.1	PspLS	Pyricularia sp. CBS 133598		NI919					Annotation submitted by Academia Sinica	41493134	Chromosome	3/19/19	RRCJ01	51		
GCA_947686815.1	rPodLil1.2	Podarcis lilfordi							Annotation submitted by UB (Universitat de Barcelona)	1460085851	Chromosome	8/9/23	CANTUW01	2148		
GCA_918026665.1	PGI_DIABBA_v3	Diabrotica balteata							Annotation submitted by ROTHAMSTED RESEARCH	1607257046	Chromosome	7/12/22	CAKJVB03	407		
GCA_009650685.1	Cryp_gatt_MF34	Cryptococcus gattii VGV		MF34					Annotation submitted by Broad Institute	17886378	Chromosome	11/14/19	VHDQ01	15		
GCA_004026145.2	XU_Tbim_1.0	Takifugu bimaculatus					TB-2018	female	"Annotation submitted by College of Ocean and Earth Sciences, Xiamen University"	404311738	Chromosome	6/21/19	SWLE01	1158		
GCA_927349885.1	PGI_PSYICH_v2	Psylliodes chrysocephala							Annotation submitted by ROTHAMSTED RESEARCH	1181805965	Chromosome	7/1/22	CAKMHV01	32		
GCA_014905635.1	UMN_S.PABB004_v1	Scenedesmus sp. PABB004		PABB004					Annotation submitted by University of Minnesota	39756104	Chromosome	10/28/20	JABVCE01	77		
GCF_900097015.1	PADLG01	Plasmodium sp. gorilla clade G2							Annotation submitted by WTSI	22190694	Chromosome	3/27/18	OEYY01	82		
GCA_018691285.1	UNAM_Csor_1.0	Cucurbita argyrosperma subsp. sororia					JBR-2021		"Annotation submitted by Instituto de Ecologia, UNAM"	255122959	Chromosome	6/3/21	JAGKQH01	69		
GCA_900074745.1	LAMI0	Lachancea mirantina							Annotation submitted by INRA UMR 1319	10117267	Chromosome	10/25/16	FJUN01	8		
GCA_019343175.1	Ogib_1.0	Oedothorax gibbosus					W744_W776		Annotation submitted by Royal Belgian Institute of Natural Sciences	821427276	Chromosome	8/5/21	JAFNEN01	7802		
GCA_017918215.1	LU_Lgha_1.0	Leishmania sp. Ghana 2012 LV757		GH5					Annotation submitted by Lancaster University	35953538	Chromosome	4/15/21	JAFJZN01	116		
GCA_017918225.1	LU_LNam_1.0	Leishmania sp. Namibia		253					Annotation submitted by Lancaster University	34118624	Chromosome	4/15/21	JAFNID01	67		
GCA_020631695.1	ASM2063169v1	Trichoderma cornu-damae		KA19-0412C					Annotation submitted by Korea National Arboretum	38604505	Chromosome	10/27/21	JAIWOZ01	59		
GCA_039583875.1	PGUA_v1.0	Platanthera guangdongensis					Lor288		Annotation submitted by Fujian Agriculture and Forestry University	4245568817	Chromosome	5/6/24	JBBWWR01	274		
GCA_028583415.1	ASM2858341v1	Protea cynaroides			Little Prince				Annotation submitted by University of Pretoria	1225359862	Chromosome	2/10/23	JAMYWD01	3600		
GCF_032854445.1	CUHK_Ljap_v2	Liolophura japonica					JHLJ2023		GCF_032854445.1-RS_2024_04	609495693	Chromosome	3/1/24	JAWJEC01	632		
GCA_900074735.1	LAFA0	Lachancea sp. 'fantastica'							Annotation submitted by INRA UMR 1319	11336659	Chromosome	10/25/16	FJUL01	7		
GCA_029204225.1	Diphasiastrum complanatum v3.1	Diphasiastrum complanatum			PW_Plant_1				Annotation submitted by DOE Joint Genome Institute	1744989973	Chromosome	3/21/23	JAQGDR01	8441		
GCA_026229545.1	Patl_V1	Pistacia atlantica					c2T10	female	Annotation submitted by UC Davis Genome Center	505281571	Chromosome	11/18/22	JAPEIT01	113		
GCA_027704905.1	KU_S4	Muraenolepis orangiensis					KU_S4_2022		Annotation submitted by Korea University	893743365	Chromosome	1/13/23	JANIIK01	7737		
GCA_036851935.1	J4Q44_1.1	Coregonus suidteri				Hallwil lake	Cs_M1	male	Annotation submitted by GenoFish	2294266309	Chromosome	2/26/24	JAGTTL01	4109		
GCA_900095595.1	PPRFG01	Plasmodium sp. gorilla clade G1							Annotation submitted by WTSI	24982595	Chromosome	3/27/18	FMIP01	53		
GCF_016097555.1	Gae_host_genome	Gigantopelta aegis					Gae_Host		NCBI Gigantopelta aegis Annotation Release 100	1149605642	Chromosome	12/17/20	JAEHGF01	5231		
GCA_900097035.1	PBLACG01	Plasmodium sp. gorilla clade G3							Annotation submitted by WTSI	21840003	Chromosome	3/27/18	FMKE01	97		
GCF_004337985.1	PpBr36	Pyricularia pennisetigena		Br36					Annotation submitted by Academia Sinica	49117040	Chromosome	3/19/19	RRCL01	108		
GCF_014466175.1	ASM1446617v1	Vespula pensylvanica					Volc-1	male	NCBI Vespula pensylvanica Annotation Release 100	179370016	Chromosome	9/9/20	JACSDY01	222		
GCF_016433145.1	AgileGrace	Gracilinanus agilis					LMUSP501	male	NCBI Gracilinanus agilis Annotation Release 100	3701017385	Chromosome	1/6/21	JADWME01	60713		
GCF_002910315.2	ASM291031v2	Salvelinus sp. IW2-2015					IW2-2015		NCBI Salvelinus alpinus Annotation Release 101	2169536488	Chromosome	2/12/18	PPUY01	16701		
GCA_029228625.1	FCFRP_Bhyg_1.0	Pseudolycoriella hygida					HSMRA1968		Annotation submitted by University of Sao Paulo	609270041	Chromosome	3/20/23	WJQU01	6452		
GCA_022985145.1	PDJA	Pangasius djambal					Pdj_M5554	male	Annotation submitted by GenoFish	844539323	Chromosome	4/19/22	JAKXMS01	374880		
GCA_020142125.1	MUOH_PhPlat_1.1	Phrynosoma platyrhinos					NK-2021	female	Annotation submitted by Miami University	1901839624	Chromosome	9/27/21	JAIPUX01	5291		
GCA_013677275.1	ASM1367727v1	Gossypium schwendimanii					1		Annotation submitted by Mississippi State University	729428757	Chromosome	9/3/20	JABFAF01	332957		
GCA_013467495.1	ASM1346749v1	Gossypium gossypioides					5		Annotation submitted by Mississippi State University	664724314	Chromosome	9/3/20	JABEZY01	344899		
GCA_013467465.1	ASM1346746v1	Gossypium trilobum					8		Annotation submitted by Mississippi State University	655376848	Chromosome	9/3/20	JABEZW01	290398		
GCA_013467485.1	ASM1346748v1	Gossypium lobatum					157		Annotation submitted by Mississippi State University	744535494	Chromosome	9/3/20	JABEZX01	380358		
GCA_013487665.1	ASM1348766v1	Gossypium aridum					185		Annotation submitted by Mississippi State University	739119247	Chromosome	9/3/20	JABFAA01	382310		
GCA_013511315.1	ASM1351131v1	Gossypium laxum					4		Annotation submitted by Mississippi State University	833895178	Chromosome	9/3/20	JABEZV01	470382		
GCA_013677265.1	ASM1367726v1	Gossypium armourianum					6		Annotation submitted by Mississippi State University	780950899	Chromosome	9/3/20	JABFAE01	446787		
GCA_040182925.1	ASM4018292v1	Culter alburnus					CATC2023		"Annotation submitted by Freshwater Fisheries Research Center, Chinese Academy of Fishery Science"	1052771736	Chromosome	6/14/24	JAWDJR01	37		
GCA_040183295.1	ASM4018329v1	Rubus argutus			Hillquist		PI 553951		Annotation submitted by North Carolina State University	298237095	Chromosome	6/14/24	JBEDUW01	350		
